127.0.0.1 - - [02/Apr/2024:12:26:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:26:03 +0900] "GET /gameProject/ HTTP/1.1" 200 8403
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:26:03 +0900] "GET /gameProject/resources/css/footer.css HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:26:03 +0900] "GET /gameProject/resources/css/font.css HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:26:03 +0900] "GET /gameProject/resources/css/main.css HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:26:03 +0900] "GET /gameProject/resources/images/main/banner2.png HTTP/1.1" 200 573896
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:26:03 +0900] "GET /gameProject/resources/css/header.css HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:26:03 +0900] "GET /gameProject/resources/images/main/image.png HTTP/1.1" 200 8871
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:26:03 +0900] "GET /gameProject/resources/images/main/banner3.png HTTP/1.1" 200 541900
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:26:03 +0900] "GET /gameProject/resources/images/main/banner4.png HTTP/1.1" 200 616819
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:26:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:35:34 +0900] "GET /gameProject/login HTTP/1.1" 200 2367
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:35:34 +0900] "GET /gameProject/resources/css/login.css HTTP/1.1" 200 2288
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:35:34 +0900] "GET /gameProject/resources/css/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:35:34 +0900] "GET /gameProject/resources/images/main/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:35:37 +0900] "GET /gameProject/game/baseball HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:35:37 +0900] "GET /gameProject/login HTTP/1.1" 200 2719
